ID,X,Y,Cover1857,Cover1930,Cover1987
24505043,442938.1612,659290.6555,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505044,443741.3171,659287.218,Hemlock-Yellow Birch,Aspen-Paper Birch,Ag-Grassland
24505051,442138.83,660102.1814,Hemlock-Yellow Birch,Aspen-Paper Birch,Ag-Grassland
24505052,441337.8458,660108.9084,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505053,441337.1915,659306.94,Pine Species,Marsh-Bog,Ag-Grassland
24505054,442137.4338,659296.4638,Pine Species,Marsh-Bog,Marsh-Bog
24505061,440536.0396,660120.151,Aspen-Paper Birch,Ag-Grassland,Ag-Grassland
24505062,439702.6994,660137.5021,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24505074,440528.6497,657721.2144,Northern Hardwood,Lowland Forest,Aspen-Paper Birch
24505081,442131.5982,658492.4462,Pine Species,Aspen-Paper Birch,Ag-Grassland
24505082,441334.2024,658503.6391,Pine Species,Aspen-Paper Birch,Aspen-Paper Birch
24505083,441327.2137,657701.1274,Hemlock-Yellow Birch,Aspen-Paper Birch,Ag-Grassland
24505084,442121.2641,657688.5849,Pine Species,Aspen-Paper Birch,Upland Shrub-Herb
24505091,443732.793,658481.695,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505092,442931.6152,658485.5853,Pine Species,Aspen-Paper Birch,Aspen-Paper Birch
24505093,442919.0414,657680.8959,Pine Species,Aspen-Paper Birch,Aspen-Paper Birch
24505094,443722.9697,657676.2734,Hemlock-Yellow Birch,Aspen-Paper Birch,Ag-Grassland
24505101,445337.3008,658468.6689,Hemlock-Yellow Birch,Aspen-Paper Birch,Other or No Data
24505102,444535.176,658476.273,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24505103,444524.3599,657669.1388,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505104,445324.1338,657661.6715,Northern Hardwood,Aspen-Paper Birch,Aspen-Paper Birch
24505111,446960.592,658430.2164,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24505112,446146.0874,658453.1216,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24505113,446132.3037,657647.0782,Northern Hardwood,Aspen-Paper Birch,Aspen-Paper Birch
24505114,446948.2269,657624.9026,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24505121,448564.5594,658392.3669,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505122,447767.2231,658409.6155,Northern Hardwood,Aspen-Paper Birch,Ag-Grassland
24505123,447756.8063,657602.631,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24505131,448550.579,656775.3117,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24505134,448545.709,655976.0654,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24505141,446939.7722,656821.9186,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24505142,446127.9226,656842.7367,Northern Hardwood,Ag-Grassland,Aspen-Paper Birch
24505143,446132.8997,656038.0613,Northern Hardwood,Ag-Grassland,Marsh-Bog
24505151,445320.9364,656854.7328,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24505152,444518.085,656861.5097,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24505153,444517.623,656054.3409,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24505154,445326.9311,656048.8725,Lowland Forest,Aspen-Paper Birch,Boreal Conifer-Hardwood
24505161,443717.3434,656870.2286,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24505162,442919.0917,656875.6246,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24505163,442928.9821,656066.6334,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24505164,443718.4376,656061.1587,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24505171,442122.2815,656884.9077,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24505172,441327.3507,656903.7337,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24505173,441332.008,656112.9234,Northern Hardwood,Northern Hardwood,Northern Hardwood
24505174,442134.0836,656082.9348,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24505181,440525.8867,656926.3007,Northern Hardwood,Aspen-Paper Birch,Upland Shrub-Herb
